Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
The Open House,3.3,Suzanne Coote,Dylan Minnette,Piercey Dalton,"Horror, Thriller",A teenager and his mother find themselves besieged by threatening forces when they move into a new house.
Predator 2,6.2,Danny Glover,Gary Busey,Kevin Peter Hall,"Action, Horror, Sci-Fi","Amidst a territorial gang war in 1997, a sophisticated alien hunter stalks the citizens of Los Angeles and the only man between him and his prey is veteran L.A.P.D. officer, Lieutenant Mike Harrigan."
Friday the 13th,6.5,Betsy Palmer,Adrienne King,Jeannine Taylor,"Horror, Mystery, Thriller","A group of camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp which, years before, was the site of a child's drowning."
Pet Sematary,6.6,Dale Midkiff,Denise Crosby,Fred Gwynne,"Horror, Thriller","Behind a young family's home in Maine is a terrible secret that holds the power of life after death. When tragedy strikes, the threat of that power soon becomes undeniable."
Dracula Untold,6.3,Luke Evans,Dominic Cooper,Sarah Gadon,"Action, Drama, Fantasy","As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom."
The Maus,4,August Wittgenstein,Alma Terzic,Ella Jazz,"Drama, Fantasy, Horror","Alex and Selma are a couple in love on a trip to the heart of Bosnia and Herzegovina. Suddenly, Selma feels somebody chasing them. She clings to her Muslim amulet, ""hamajlija"", causing the mysterious force to emerge from the forest."
The Cured,5.5,Ellen Page,Sam Keeley,Tom Vaughan-Lawlor,"Drama, Horror, Sci-Fi","A disease that turns people into zombies has been cured. The once-infected zombies are discriminated against by society and their own families, which causes social issues to arise. This leads to militant government interference."
Halloween,7.8,Donald Pleasence,Jamie Lee Curtis,Tony Moran,"Horror, Thriller","Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield to kill again."
A Cure for Wellness,6.4,Dane DeHaan,Jason Isaacs,Mia Goth,"Drama, Fantasy, Horror","An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem."
My Friend Dahmer,6.4,Ross Lynch,Alex Wolff,Anne Heche,"Biography, Drama, Horror",A young
The Mortal Instruments: City of Bones,5.9,Lily Collins,Jamie Campbell Bower,Robert Sheehan,"Action, Fantasy, Horror",struggles to belong in high school.
Scream 2,6.1,Neve Campbell,Courteney Cox,David Arquette,"Horror, Mystery","When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World."
The Descent,7.2,Shauna Macdonald,Natalie Mendoza,Alex Reid,"Adventure, Horror, Thriller","Two years after the first series of murders, a new psychopath dons the Ghostface costume and a new string of killings begins."
The Thing from Another World,7.2,Howard Hawks,Kenneth Tobey,Margaret Sheridan,"Horror, Sci-Fi","A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators."
Goosebumps: Haunted Halloween,7.6,Odeya Rush,Madison Iseman,Jack Black,"Adventure, Comedy, Family",Scientists and American Air Force officials fend off a bloodthirsty alien organism while at a remote arctic outpost.
Haven,7.5,Lucas Bryant,Eric Balfour,Richard Donat,"Crime, Drama, Fantasy",Plot unknown.
Overlord,6,Wyatt Russell,Bokeem Woodbine,Iain De Caestecker,"Action, Horror, Mystery","Everyone in the coastal town of Haven, Maine has a dormant curse or ""trouble"" that could trigger at any time for any reason. FBI agent Audrey Parker, the sheriff and the town's black sheep must deal with the troubles' deadly effects."
The Evil Dead,8.9,Bruce Campbell,Ellen Sandweiss,Richard DeManincor,Horror,The story of two American soldiers behind enemy lines on D Day.
The Purge: Election Year,6.7,Frank Grillo,Elizabeth Mitchell,Mykelti Williamson,"Action, Horror, Sci-Fi","Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons."
Over the Garden Wall,7.4,Collin Dean,Melanie Lynskey,Christopher Lloyd,"Animation, Adventure, Drama","Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge."
Final Destination,6,Devon Sawa,Ali Larter,Kerr Smith,"Horror, Thriller",Two brothers find themselves lost in a mysterious land and try to find their way home.
Fortitude,7.1,Björn Hlynur Haraldsson,Sienna Guillory,Mia Jexen,"Drama, Horror, Mystery","After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one."
The Amityville Horror,3.6,Ryan Reynolds,Melissa George,Jimmy Bennett,"Drama, Horror, Mystery","Perched on the edge of the Arctic Circle, Fortitude is one of the safest towns on earth. There has never been a violent crime here. Until now."
Let Me In,8,Kodi Smit-McPhee,Chloë Grace Moretz,Richard Jenkins,"Drama, Fantasy, Horror",Newlyweds are terrorized by demonic forces after moving into a large house that was the site of a grisly mass murder a year before.
Jaws 3-D,5,Dennis Quaid,Bess Armstrong,Simon MacCorkindale,"Adventure, Horror, Thriller",A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.
Rosemary's Baby,7,Mia Farrow,John Cassavetes,Ruth Gordon,"Drama, Horror",The sons of police chief Brody must protect customers at a SeaWorld theme park after a thirty-five-foot shark becomes trapped in the park with them.
Leatherface,6.5,Julien Maury,Stephen Dorff,Lili Taylor,"Crime, Horror, Thriller","A young couple moves in to an apartment only to be surrounded by peculiar neighbors and occurrences. When the wife becomes mysteriously pregnant, paranoia over the safety of her unborn child begins to control her life."
Raw,5.6,Garance Marillier,Ella Rumpf,Rabah Nait Oufella,"Drama, Horror","A teenage Leatherface escapes from a mental hospital with three other inmates, kidnapping a young nurse and taking her on a road trip from hell, while being pursued by a lawman out for revenge."
Evil Dead,8,Jane Levy,Shiloh Fernandez,Jessica Lucas,"Fantasy, Horror, Thriller","When a young vegetarian undergoes a carnivorous hazing ritual at vet school, an unbidden taste for meat begins to grow in her."
AVP: Alien vs. Predator,7.1,Sanaa Lathan,Lance Henriksen,Raoul Bova,"Action, Horror, Sci-Fi","Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods."
Tales from the Crypt,7,Roy Brocksmith,Miguel Ferrer,Cam Clarke,"Comedy, Crime, Fantasy","During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win."
The House with a Clock in Its Walls,7.3,Cate Blanchett,Jack Black,Sunny Suljic,"Family, Fantasy, Horror","Tales of horror based on the gruesome E.C. comic books of the 1950s presented by the legendary Crypt Keeper, a sinister ghoul obsessed with gallows humor and horrific puns."
Bitten,7.2,Greyston Holt,Greg Bryk,Steve Lund,"Drama, Fantasy, Horror",A young orphan named Lewis Barnavelt aids his magical uncle in locating a clock with the power to bring about the end of the world.
28 Weeks Later,4.6,Jeremy Renner,Rose Byrne,Robert Carlyle,"Drama, Horror, Sci-Fi",When she left Stonehaven - 'for good this time' - Elena Michaels thought she had left the world of supernatural behind. Until the night she got a mysterious call from her pack leader asking...
They Live,6.7,Roddy Piper,Keith David,Meg Foster,"Action, Horror, Sci-Fi",»
Wolf Creek,6.3,Lucy Fry,Dustin Clare,Matt Day,"Drama, Horror, Thriller","Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan."
Death Note,7.3,Nat Wolff,Lakeith Stanfield,Margaret Qualley,"Adventure, Crime, Drama",A drifter discovers a pair of sunglasses that allow him to wake up to the fact that aliens have taken over the Earth.
The Girl with All the Gifts,7,Sennia Nanua,Fisayo Akinade,Dominique Tipper,"Drama, Horror, Thriller",An anthology series which centers on different characters being targeted by crazed serial killer Mick Taylor in the Australian outback.
Scouts Guide to the Zombie Apocalypse,5.7,Tye Sheridan,Logan Miller,Joey Morgan,"Action, Comedy, Horror","A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals."
Dawn of the Dead,6.1,Sarah Polley,Ving Rhames,Mekhi Phifer,"Action, Horror, Thriller",A scientist and a teacher living in a dystopian future embark on a journey of survival with a special young girl named Melanie.
From Dusk Till Dawn: The Series,5.6,Zane Holtz,Jesse Garcia,Eiza González,"Action, Crime, Horror","Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak."
Hollow Man,7.6,Kevin Bacon,Elisabeth Shue,Josh Brolin,"Action, Horror, Sci-Fi","A nurse, a policeman, a young married couple, a salesman, and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall."
Hansel & Gretel: Witch Hunters,7.1,Jeremy Renner,Gemma Arterton,Peter Stormare,"Action, Fantasy, Horror",A Texas Ranger is in hot pursuit of the infamous Gecko brothers and their hostages. They all end up trapped in a desert bar secretly run by vampires and discover a vampire conspiracy.
Friday the 13th,7.2,Jared Padalecki,Amanda Righetti,Derek Mears,Horror,"When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences."
Constantine,6.8,Harold Perrineau,Charles Halford,Angélica Celaya,"Drama, Fantasy, Horror","Hansel & Gretel are bounty hunters who track and kill witches all over the world. As the fabled Blood Moon approaches, the siblings encounter a new form of evil that might hold a secret to their past."
Dogtooth,7.3,Christos Stergioglou,Michele Valley,Angeliki Papoulia,"Drama, Horror, Thriller","Three teenagers live isolated, without leaving their house, because their over-protective parents say they can only leave when their dogtooth falls out."
The Autopsy of Jane Doe,6.8,Brian Cox,Emile Hirsch,Ophelia Lovibond,"Horror, Mystery, Thriller","A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets."
Pride and Prejudice and Zombies,5.8,Lily James,Sam Riley,Jack Huston,"Action, Horror, Romance",Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.
Scream Queens,7.1,Lea Michele,Abigail Breslin,Keke Palmer,"Comedy, Horror, Mystery","A semi-anthology series that centers on returning characters being terrorized by a serial killer in different locations, including a university and a hospital."
Terrifier,6,Jenna Kanell,Catherine Corcoran,David Howard Thornton,"Horror, Thriller","A maniacal clown named Art, terrorizes three young women on Halloween night and everyone else who stands in his way."
Far Cry 5,8.8,Greg Bryk,Steve Byers,Mark Pellegrino,"Action, Adventure, Drama","A deputy is sent to the town of Hope County to arrest Joseph Seed, a corrupt evangelical religious leader who rules the town with the help of his disturbed followers."
The Fly,7.5,Jeff Goldblum,Geena Davis,John Getz,"Drama, Horror, Sci-Fi",A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.
