Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
Hostel,7.2,Jay Hernandez,Derek Richardson,Eythor Gudjonsson,"Horror, Mystery, Thriller","Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."
Black Christmas,7.4,Olivia Hussey,Keir Dullea,Margot Kidder,"Horror, Mystery, Thriller","Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them."
Fortitude,5.4,Björn Hlynur Haraldsson,Sienna Guillory,Mia Jexen,"Drama, Horror, Mystery","During their Christmas break, a group of sorority girls are stalked by a stranger."
The Cleanse,4.5,Johnny Galecki,Anna Friel,Kyle Gallner,"Comedy, Drama, Fantasy","Perched on the edge of the Arctic Circle, Fortitude is one of the safest towns on earth. There has never been a violent crime here. Until now."
Rings,4.4,Matilda Anna Ingrid Lutz,Alex Roe,Johnny Galecki,"Drama, Horror","A heartbroken man attends a spiritual retreat to cleanse himself and fix his broken life. There he meets a fellow lost soul, and together they discover that ""the cleanse"" releases more than everyday toxins...a lot more."
Anonymous 616,6.0,Bella Shepard,Emily Jordan,Myles Cranford,"Horror, Thriller",A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.
Cannibal Holocaust,7.2,Robert Kerman,Francesca Ciardi,Perry Pirkanen,"Adventure, Horror",A reunion between two couples becomes a massacre when one of the guests meets an anonymous person online and willingly becomes a participant on a bloody path to becoming God-like.
The Mist,4.4,Thomas Jane,Marcia Gay Harden,Laurie Holden,"Horror, Sci-Fi, Thriller","During a rescue mission into the Amazon rainforest, a professor stumbles across lost film shot by a missing documentary crew."
The Human Centipede (First Sequence),5.3,Dieter Laser,Ashley C. Williams,Ashlynn Yennie,Horror,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives."
Friend Request,8.9,Alycia Debnam-Carey,William Moseley,Connor Paolo,"Horror, Thriller","A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede, created by stitching their mouths to each others' rectums."
Over the Garden Wall,4.6,Collin Dean,Melanie Lynskey,Christopher Lloyd,"Animation, Adventure, Drama","When a college student unfriends a mysterious girl online, she finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends."
Death Note,5.2,Nat Wolff,Lakeith Stanfield,Margaret Qualley,"Adventure, Crime, Drama",Two brothers find themselves lost in a mysterious land and try to find their way home.
